CN,STATECD,SUBP,SUBPTYP,PLT_CN,CONDID,PREV_PLT_CN,PREVCOND,SUBPTYP_PROP_CHNG,CREATED_DATE,MODIFIED_DATE
1737562014290487,72,2,1,480540071489998,1,197190449020004,1,1.0,2024-12-18 10:36:21,
1737562015290487,72,3,1,480540071489998,1,197190449020004,1,1.0,2024-12-18 10:36:21,
1737562016290487,72,4,1,480540071489998,1,197190449020004,1,1.0,2024-12-18 10:36:21,
1737562017290487,72,1,2,480540071489998,1,197190449020004,1,1.0,2024-12-18 10:36:21,
1737562018290487,72,2,2,480540071489998,1,197190449020004,1,1.0,2024-12-18 10:36:21,
1737562019290487,72,3,2,480540071489998,1,197190449020004,1,1.0,2024-12-18 10:36:21,
1737562020290487,72,4,2,480540071489998,1,197190449020004,1,1.0,2024-12-18 10:36:21,
1737562446290487,72,1,1,480540072489998,1,197190471020004,1,1.0,2024-12-18 10:36:22,
1737562447290487,72,2,1,480540072489998,1,197190471020004,1,1.0,2024-12-18 10:36:22,
1737562448290487,72,3,1,480540072489998,1,197190471020004,1,1.0,2024-12-18 10:36:22,
1737562449290487,72,4,1,480540072489998,1,197190471020004,1,1.0,2024-12-18 10:36:22,
1737562450290487,72,1,2,480540072489998,1,197190471020004,1,1.0,2024-12-18 10:36:22,
1737562451290487,72,2,2,480540072489998,1,197190471020004,1,1.0,2024-12-18 10:36:22,
1737562453290487,72,4,2,480540072489998,1,197190471020004,1,1.0,2024-12-18 10:36:22,
1737562452290487,72,3,2,480540072489998,1,197190471020004,1,1.0,2024-12-18 10:36:22,
1737563078290487,72,1,1,480540073489998,1,197190492020004,1,1.0,2024-12-18 10:36:23,
1737563079290487,72,2,1,480540073489998,1,197190492020004,1,1.0,2024-12-18 10:36:23,
1737563080290487,72,3,1,480540073489998,1,197190492020004,1,1.0,2024-12-18 10:36:23,
1737563081290487,72,4,1,480540073489998,1,197190492020004,1,1.0,2024-12-18 10:36:23,
1737563082290487,72,1,2,480540073489998,1,197190492020004,1,1.0,2024-12-18 10:36:23,
1737563083290487,72,2,2,480540073489998,1,197190492020004,1,1.0,2024-12-18 10:36:23,
